pagename_antenne,province,antenne,pagename_province,iso3,zonesante,grid3id,date,edit_par,source_acronym,sourceid,Shape_Length,Shape_Area,xmin,ymin,xmax,ymax
COD_Kinshasa_Kinshasa-Est,Kinshasa,Kinshasa-Est,COD_Kinshasa,COD,Biyela,,2024,CIESIN GRID3,multiple data sources,Kinshasa_001,0.012099099766775,0.000004296672113,15.509275624000054,-4.305519675999960,15.512814675000072,-4.301133925999977
COD_Kinshasa_Kinshasa-Est,Kinshasa,Kinshasa-Est,COD_Kinshasa,COD,Biyela,,2024,CIESIN GRID3,multiple data sources,Kinshasa_001,0.008308439346666,0.000003366702599,15.518360675000054,-4.302492324999946,15.520071863000055,-4.299055383999928
COD_Kinshasa_Kinshasa-Est,Kinshasa,Kinshasa-Est,COD_Kinshasa,COD,Biyela,,2024,CIESIN GRID3,multiple data sources,Kinshasa_001,0.005232584077892,0.000001136212215,15.523021928000048,-4.299823259999926,15.524260033000076,-4.297690034999960
COD_Kinshasa_Kinshasa-Est,Kinshasa,Kinshasa-Est,COD_Kinshasa,COD,Biyela,,2024,CIESIN GRID3,multiple data sources,Kinshasa_001,0.004367891300002,0.000000870511326,15.523551068000074,-4.297097779999945,15.524789572000032,-4.295438528999966
COD_Kinshasa_Kinshasa-Est,Kinshasa,Kinshasa-Est,COD_Kinshasa,COD,Biyela,,2024,CIESIN GRID3,multiple data sources,Kinshasa_001,0.005824602281534,0.000001632648488,15.518180872000073,-4.297811993999971,15.519243428000038,-4.295323844999928
COD_Kinshasa_Kinshasa-Est,Kinshasa,Kinshasa-Est,COD_Kinshasa,COD,Biyela,,2024,CIESIN GRID3,multiple data sources,Kinshasa_001,0.022718826438107,0.000012917822816,15.520541799000057,-4.299646791999976,15.522961702000032,-4.289397583999971
COD_Kinshasa_Kinshasa-Est,Kinshasa,Kinshasa-Est,COD_Kinshasa,COD,Biyela,,2024,CIESIN GRID3,multiple data sources,Kinshasa_001,0.029028400775074,0.000034180371554,15.522723432000078,-4.295913394999957,15.528146963000040,-4.283173564999970
COD_Kinshasa_Kinshasa-Est,Kinshasa,Kinshasa-Est,COD_Kinshasa,COD,Biyela,,2024,CIESIN GRID3,multiple data sources,Kinshasa_001,0.141453644316718,0.000411105021336,15.440964643000029,-4.270820710999942,15.475264572000071,-4.228597174999948
COD_Kinshasa_Kinshasa-Est,Kinshasa,Kinshasa-Est,COD_Kinshasa,COD,Biyela,,2024,CIESIN GRID3,multiple data sources,Kinshasa_001,0.108330313974169,0.000222913796770,15.498808384000029,-4.238851313999930,15.507190035000065,-4.197655038999926
COD_Kinshasa_Kinshasa-Est,Kinshasa,Kinshasa-Est,COD_Kinshasa,COD,Biyela,,2024,CIESIN GRID3,multiple data sources,Kinshasa_001,5.318688125751908,0.752959829785913,15.349077037000029,-5.050898033999943,16.538299529000028,-3.927611199999944
