pagename_zonesante,province,antenne,zonesante,pagename_province,pagename_antenne,iso3,grid3id,date,edit_par,source_acronym,sourceid,Shape_Length,Shape_Area,xmin,ymin,xmax,ymax
COD_Haut-Katanga_Lubumbashi_Kowe,Haut-Katanga,Lubumbashi,Kowe,COD_Haut-Katanga,COD_Haut-Katanga_Lubumbashi,COD,sAsXOxkBdrE,2024,CIESIN GRID3,multiple data sources,Haut-Katanga_001,0.013599003301785,0.000009371494001,27.243190254000069,-11.752395520999926,27.247977181000067,-11.749511592999966
COD_Haut-Katanga_Lubumbashi_Kowe,Haut-Katanga,Lubumbashi,Kowe,COD_Haut-Katanga,COD_Haut-Katanga_Lubumbashi,COD,sAsXOxkBdrE,2024,CIESIN GRID3,multiple data sources,Haut-Katanga_001,0.003603959284693,0.000000770357424,27.445244850000051,-11.697087295999950,27.446626782000067,-11.696084517999964
COD_Haut-Katanga_Lubumbashi_Kowe,Haut-Katanga,Lubumbashi,Kowe,COD_Haut-Katanga,COD_Haut-Katanga_Lubumbashi,COD,sAsXOxkBdrE,2024,CIESIN GRID3,multiple data sources,Haut-Katanga_001,0.008460646158902,0.000003536403657,27.484946725000043,-11.684365581999941,27.487815078000040,-11.681917609999971
COD_Haut-Katanga_Lubumbashi_Kowe,Haut-Katanga,Lubumbashi,Kowe,COD_Haut-Katanga,COD_Haut-Katanga_Lubumbashi,COD,sAsXOxkBdrE,2024,CIESIN GRID3,multiple data sources,Haut-Katanga_001,0.009281244344529,0.000005456692327,27.504504384000029,-11.660070625999936,27.507412164000073,-11.657553391999954
COD_Haut-Katanga_Lubumbashi_Kowe,Haut-Katanga,Lubumbashi,Kowe,COD_Haut-Katanga,COD_Haut-Katanga_Lubumbashi,COD,sAsXOxkBdrE,2024,CIESIN GRID3,multiple data sources,Haut-Katanga_001,0.013519696024643,0.000009965699866,27.514929761000076,-11.656915090999973,27.517493624000053,-11.651836252999942
COD_Haut-Katanga_Lubumbashi_Kowe,Haut-Katanga,Lubumbashi,Kowe,COD_Haut-Katanga,COD_Haut-Katanga_Lubumbashi,COD,sAsXOxkBdrE,2024,CIESIN GRID3,multiple data sources,Haut-Katanga_001,0.052096744887166,0.000059146757915,27.463997730000074,-11.604032589999974,27.472793765000063,-11.589848714999960
COD_Haut-Katanga_Lubumbashi_Kowe,Haut-Katanga,Lubumbashi,Kowe,COD_Haut-Katanga,COD_Haut-Katanga_Lubumbashi,COD,sAsXOxkBdrE,2024,CIESIN GRID3,multiple data sources,Haut-Katanga_001,0.006796067179906,0.000002918232052,26.725091149000036,-11.021105660999979,26.727064848000055,-11.019318259999977
COD_Haut-Katanga_Lubumbashi_Kowe,Haut-Katanga,Lubumbashi,Kowe,COD_Haut-Katanga,COD_Haut-Katanga_Lubumbashi,COD,sAsXOxkBdrE,2024,CIESIN GRID3,multiple data sources,Haut-Katanga_001,0.004667808123281,0.000001354858020,26.722596412000030,-10.982165250999969,26.723837828000057,-10.980977933999952
COD_Haut-Katanga_Lubumbashi_Kowe,Haut-Katanga,Lubumbashi,Kowe,COD_Haut-Katanga,COD_Haut-Katanga_Lubumbashi,COD,sAsXOxkBdrE,2024,CIESIN GRID3,multiple data sources,Haut-Katanga_001,0.011455554257721,0.000008204858305,26.728158806000067,-10.976300875999925,26.731682456000044,-10.973541888999932
COD_Haut-Katanga_Lubumbashi_Kowe,Haut-Katanga,Lubumbashi,Kowe,COD_Haut-Katanga,COD_Haut-Katanga_Lubumbashi,COD,sAsXOxkBdrE,2024,CIESIN GRID3,multiple data sources,Haut-Katanga_001,0.001833550999756,0.000000198521520,25.480274096000073,-10.754001747999951,25.480898944000046,-10.753579959999968
